Source,Source Plate Barcode,Source Well,Destination,Destination Plate Barcode,Destination Well,Transfer Volume,Concentration,Reagent ID,Printing ID,Layer,Updated At,Printed At,REC ID
Working-L1700-1thru4.v1.p1,r04221,AF20,0,0,B02,2.5,10000.0,11ed4498-2f95-4c92-8cab-991d078e0bdf,None,treatment,2019-12-11 09:50:48.427251,None,REC-0002092
Working-L1700-1thru4.v1.p1,r04221,M08,0,0,B02,2.5,10000.0,e42d54fb-9c5a-4715-9209-cf5df4836f7b,None,treatment,2019-12-11 09:50:48.427863,None,REC-0002119
Working-L1700-1thru4.v1.p1,r04221,P19,0,0,B02,2.5,10000.0,eb633109-22db-4604-afb4-b860f4c10826,None,treatment,2019-12-11 09:50:48.428473,None,REC-0001060
Working-L1700-1thru4.v1.p1,r04221,J44,0,0,B02,2.5,10000.0,8c680950-3458-47a2-ab14-9094c77c8aed,None,treatment,2019-12-11 09:50:48.429133,None,REC-0000956
Working-L1700-1thru4.v1.p1,r04221,W39,0,0,B02,2.5,10000.0,c0f69b82-1e81-4da0-ac36-795ac5edbffa,None,treatment,2019-12-11 09:50:48.429748,None,REC-0001174
Working-L1700-1thru4.v1.p1,r04221,V31,0,0,B03,2.5,10000.0,f4954de8-a16d-4f56-9f30-56c951c81ae3,None,treatment,2019-12-11 09:50:44.857004,None,REC-0000353
Working-L1700-1thru4.v1.p1,r04221,X35,0,0,B03,2.5,10000.0,eda4d9b7-7cc9-447a-94f6-da02192ee3a1,None,treatment,2019-12-11 09:50:44.857618,None,REC-0001475
Working-L1700-1thru4.v1.p1,r04221,Z25,0,0,B03,2.5,10000.0,bdef5e0e-862b-4780-9b19-2050507b2c9d,None,treatment,2019-12-11 09:50:44.858230,None,REC-0002386
Working-L1700-1thru4.v1.p1,r04221,L19,0,0,B03,2.5,10000.0,d48d0521-3407-40be-b4a5-bb2023658aed,None,treatment,2019-12-11 09:50:44.858838,None,REC-0000256
Working-L1700-1thru4.v1.p1,r04221,F15,0,0,B03,2.5,10000.0,41017e75-0691-4a95-ae61-93080b6f162a,None,treatment,2019-12-11 09:50:44.859528,None,REC-0000660
Working-L1700-1thru4.v1.p1,r04221,E23,0,0,B04,2.5,10000.0,3160c07e-47f5-4b8d-9aff-04a894c4fa00,None,treatment,2019-12-11 09:50:48.346632,None,REC-0001203
Working-L1700-1thru4.v1.p1,r04221,N40,0,0,B04,2.5,10000.0,73101ad9-f10f-42a3-812f-5469cd62e399,None,treatment,2019-12-11 09:50:48.347240,None,REC-0000455
Working-L1700-1thru4.v1.p1,r04221,A35,0,0,B04,2.5,10000.0,d7f25480-2872-418a-9bfa-a9067c9386b3,None,treatment,2019-12-11 09:50:48.347849,None,REC-0001316
Working-L1700-1thru4.v1.p1,r04221,G19,0,0,B04,2.5,10000.0,d1dfa0ab-f025-4bb5-bab0-c6830c6520a8,None,treatment,2019-12-11 09:50:48.348451,None,REC-0001471
