address,reagent_id,reagent_label,reagent_batch_name,rec_id,concentration,concentration_units
A03,fa93b787-fdca-470b-8117-c74cdc39e569,3-Methylpyrazole,AA-001,REC-0064301,10000,uM
A04,ffd620cf-a21e-48f1-8f23-c49c1a66b701,3-TYP,AA-001,REC-0064245,10000,uM
A05,ddc4bd0c-410b-4cee-aabb-5d445b8d48e0,CH5138303,AA-002,REC-0001211,10000,uM
A06,af223b89-bd67-4de7-bfce-d06857ec39b6,Spautin-1,AA-002,REC-0001265,10000,uM
A07,40d8cc46-7749-4ec5-a6c6-c63ad03897b1,MI-2 (Menin-MLL Inhibitor),AA-002,REC-0001849,10000,uM
A08,da9ce563-ff9d-4d10-bb32-e6f2ade4133b,ON123300,AA-002,REC-0003943,10000,uM
A09,b4725f43-e348-47b2-a496-4fa59e9edb4b,Poziotinib,AA-003,REC-0001958,10000,uM
A10,417503ce-34b4-443f-a395-23dd6cd0c295,Dp44mT,AA-002,REC-0001895,10000,uM
A11,7b04455f-ce51-4601-89ed-d32002cfe493,TH588,AA-003,REC-0003949,10000,uM
A12,b95013d4-171e-4cf1-ad8d-72e80411f33b,Verubecestat (MK-8931) Trifluoroacetat,CN-001,REC-0064111,10000,uM
A13,04890f32-dfce-4750-a8fb-941c47aa85c7,GNE-9605,AA-002,REC-0002070,10000,uM
A14,f5af6991-2841-46d4-9b92-f3eed6c1705c,Bromodeoxyuridine (BrdU),ZZ-001,REC-0001560,10000,uM
A15,1e711e45-37ec-4df2-b9a6-5b0e347e865e,Remodelin,CG-002,REC-0001641,10000,uM
A16,47154dd6-fb93-4202-bfab-c868cd9eb279,Pimavanserin,GD-001,REC-0005438,10000,uM
A17,1459297d-b36c-4179-901b-cddf0d2f6368,Pepstatin A,AA-003,REC-0003679,10000,uM
A18,9bbc0acf-9e7c-4aea-85e6-49f54ae83a15,BEC HCl,AQ-001,REC-0064092,10000,uM
A19,bace4eb9-759e-425e-b800-715b46313e73,SB225002,AA-002,REC-0001283,10000,uM
A20,b4430806-fd44-4ff4-bbd2-707a2caa268c,Oclacitinib?maleate,AT-001,REC-0064119,10000,uM
A21,703a0137-9dd4-4c4a-96c4-779493c4dd82,Sorafenib,AA-002,REC-0000764,10000,uM
A22,19f43770-21f7-410b-95ba-474debfe3dce,Chetomin,AA-001,REC-0064096,10000,uM
A23,2e39045c-a1bf-4f84-ac53-8ac1a7411bfb,GSK2578215A,AA-002,REC-0001309,10000,uM
A24,6b4bf589-dbed-460b-a478-c08c3a7a43fa,HLCL-61 HCL,AQ-002,REC-0005392,10000,uM
A25,4503dd39-3bf6-487a-8fc2-bf1fedfff582,KN-62,AA-002,REC-0001541,10000,uM
A26,b3fa389d-6b1e-4a0b-be6a-fcd4a2d2b8cf,MRT67307,ZZ-002,REC-0004248,10000,uM
A27,5270adf6-334e-4213-beec-549cd91ae778,PF-4989216,AA-003,REC-0001679,10000,uM
A28,4e1547b2-36da-4526-9b3d-a2785cda5f90,RS 1,AA-002,REC-0063000,10000,uM
A29,4a9592a3-a690-4f7e-b8a5-a040e1c837e3,Sal003,AA-002,REC-0001295,10000,uM
A30,421a47cc-b2ea-4a6e-983e-68657a534865,SIS3,AQ-002,REC-0063525,10000,uM
A31,6ece1efb-39f7-42c6-9d51-bf945787cab1,ML141,AA-002,REC-0001964,10000,uM
A32,a4fc6a62-c620-481d-9cf1-e92bdb606ae5,Thiomyristoyl,AA-001,REC-0064125,10000,uM
A33,9520d84f-679e-423e-844f-ef79f6082b83,ZLN005,AA-002,REC-0001351,10000,uM
A34,e7a704f4-e7bb-46c2-b092-89074861279f,Favipiravir,AA-002,REC-0001188,10000,uM
A35,85ad0100-268e-43ea-b860-13ed008e4e92,LY2584702,BZ-002,REC-0001805,10000,uM
A36,646ee6a6-abd7-439c-ae0a-c1e979ff6498,PRI-724,AA-002,REC-0005441,10000,uM
A37,52a1efe2-4435-4bd8-973a-903d66f47ba9,VER-49009,AA-002,REC-0001872,10000,uM
A38,8f7391f8-8aaa-4f22-84bb-c5ed1db14161,Ripasudil (K-115) hydrochloride dihydrate,AQ-002,REC-0005448,10000,uM
A39,debd2067-397c-4bc7-82e2-6104230b36c4,SBE 13,AQ-003,REC-0001956,10000,uM
A40,94e44617-3bf4-4fb0-b41e-9a1e90765f9b,eFT508,AA-002,REC-0004398,10000,uM
A41,07fb3739-38df-4564-9490-eeecee37d3f1,Triapine,ZZ-001,REC-0001232,10000,uM
A42,ccabec2e-78dc-4d19-b02c-ecbf1937b883,SMI-4a,AA-003,REC-0002209,10000,uM
A43,513948a7-d5ea-4097-8189-e53ad577f429,AZD3839,AA-003,REC-0001244,10000,uM
A44,a975228c-2219-4b66-b5dd-4c6aab11f84f,MKC-3946,AA-001,REC-0064133,10000,uM
A46,1fb18a42-98c9-4b56-892c-d88af75140bc,ACY-738,AA-001,REC-0064250,10000,uM
AA04,f71c7a2e-c697-4d9a-a9d5-0d0ecee8ee66,p-Anisaldehyde,AA-001,REC-0064295,10000,uM
AA05,72ec15bb-7df6-4b8f-9a9b-50158bed9808,DDR1-IN-1,AA-002,REC-0001870,10000,uM
AA06,eef47f91-4567-46ec-89cb-cf6196b4c60b,Tyrphostin AG 1296,AA-002,REC-0002133,10000,uM
AA07,c12e6a3b-a554-461b-92f4-0cc1c2f5a258,Gilteritinib (ASP2215),AA-001,REC-0064074,10000,uM
AA08,70406975-590a-4a70-9260-c528eee7c5f6,Leukadherin 1,AA-002,REC-0062809,10000,uM
AA09,73c30825-a933-43c8-827e-eff504147243,LY2857785,AA-001,REC-0064061,10000,uM
AA10,e8d8aafd-e172-4d33-a063-95b3c206429b,Butein,AA-002,REC-0000531,10000,uM
AA11,13716652-d47b-422d-89fa-20c949a1ad0b,STF-083010,ZZ-001,REC-0001341,10000,uM
AA12,b1e48094-c706-4543-9fa1-d4146dd400bf,MLR-1023,AA-002,REC-0005419,10000,uM
AA13,72111845-ca02-492f-95b8-c170b5ca677a,GS-9973,AA-002,REC-0001680,10000,uM
AA14,0aabe503-bb2a-4802-9337-40b2923fba4b,BMS-345541,AA-002,REC-0000807,10000,uM
AA15,4178b904-9847-4d9e-9369-5a509e81e9e7,Dasatinib,AA-006,REC-0002075,10000,uM
AA16,918c5c9f-3784-4077-8774-b31f1113e4b2,IPI-549,AA-001,REC-0064149,10000,uM
AA17,5fefbefa-e264-4823-9373-87156a8f4622,BAPTA-AM,AA-002,REC-0001001,10000,uM
AA18,55c88a29-be4e-471f-8419-039caa304279,P276-00,AQ-002,REC-0000635,10000,uM
AA19,61c2e1d7-17f1-427f-86f2-61c970e13cb6,GSK2879552,AQ-001,REC-0004291,10000,uM
AA20,5f51fc60-27a4-4488-8e24-aef81d9387cd,BMS-935177,AA-001,REC-0064157,10000,uM
AA21,a816fbe5-f16f-4618-be46-c46fce2adc90,THZ1,AQ-003,REC-0004157,10000,uM
AA22,8d6c68ec-eda2-476f-a0a6-88c51545511d,PluriSIn #1,AA-002,REC-0001273,10000,uM
AA23,59f64006-eed9-49e1-b8d0-0858d6279d56,Afatinib,ZZ-002,REC-0002214,10000,uM
AA24,b4fd2f0f-a6b3-445f-bc8c-d172df94fa3d,CRT0066101,AQ-001,REC-0064162,10000,uM
AA25,b6b134ca-4f0f-4990-b62f-6c63e93f58ee,Darolutamide (ODM-201),AA-001,REC-0064063,10000,uM
AA26,41049d02-770c-4060-a5f8-5c051bc1baf8,CB-5083,AA-002,REC-0003952,10000,uM
AA27,30ea91ba-8108-4ad7-8823-c80658295632,Pexidartinib,AA-002,REC-0001279,10000,uM
AA28,9a065ed6-a801-436a-9ebe-c4894390b6e4,YM-58483,AA-003,REC-0004229,10000,uM
AA29,3fb0d569-a6a4-4726-85c8-2d2d1fc5485c,GSK-LSD1,ZZ-001,REC-0001676,10000,uM
AA30,b218acf0-0007-4859-b6b4-78cefe3797e7,MS023 (hydrochloride),AA-001,REC-0004424,10000,uM
AA31,40b3db16-8be0-4977-ad90-41373096c1c8,Cyclo(-RGDfK),ZZ-001,REC-0001557,10000,uM
AA32,f00680f1-fcd5-4990-9715-f02172024d7e,Erdafitinib (JNJ-42756493),AA-001,REC-0064175,10000,uM
AA33,c8e831a1-c79d-4c00-b658-434ec98c1255,SB-334867,AA-002,REC-0001814,10000,uM
AA34,662e7d58-9bbe-4f4a-b5b8-d9e5adfec659,BAY 41-2272,AA-002,REC-0063590,10000,uM
AA35,554d42af-5f7b-43f9-8440-bb9400a94eba,AZD3264,ZZ-001,REC-0001764,10000,uM
AA36,ef709c31-45bc-49bd-94fa-646ea81b20eb,R-IMPP,AA-001,REC-0064180,10000,uM
AA37,a6772886-6258-40ca-8ea6-3eb78ae9bc9c,CAY10603,AA-002,REC-0001722,10000,uM
AA38,7ac60b1a-d367-4fba-824b-4c7ac07e9c9c,GNF-7,AA-003,REC-0005386,10000,uM
AA39,4bada9e6-278b-4de2-85b6-85f1eb479a3d,Oltipraz,AA-002,REC-0001790,10000,uM
AA40,f6a2ddec-e8bd-430b-9fb6-45bc2582392e,LW 6,AA-001,REC-0064184,10000,uM
AA41,16dca9b9-c15a-4caf-8550-c0bf315e903a,CPI-169,ZZ-001,REC-0001885,10000,uM
AA42,a305ef37-72ce-4399-a5e1-48db2f8fd564,ARS-853 (ARS853),AA-001,REC-0064107,10000,uM
AA43,fb084bb6-ad80-441e-becc-c3ad21a1719b,SBI-0206965,AA-002,REC-0001943,10000,uM
AA44,2019a435-ca9a-4ee7-bd51-6740a4752fb5,UK-371804 HCl,AQ-001,REC-0064191,10000,uM
AA46,4cb60dce-9a24-4701-9ec7-7c9a916295fb,"Dihydrojasmonic acid, methyl ester",AA-001,REC-0002770,10000,uM
AC04,11bada65-2497-4ae0-80bf-0924194ee6ec,iCRT3,AA-002,REC-0007237,10000,uM
AC05,d0b56ef9-e821-4985-914f-f3eae3471604,PF-562271,AQ-002,REC-0000883,10000,uM
AC06,9ce5a49b-9ec3-4dbd-bf36-1aece0645346,PFI-4,AA-002,REC-0001916,10000,uM
AC07,74de358d-554a-45be-8259-f59851999c9e,TH287,AA-002,REC-0001947,10000,uM
AC08,db89fef1-58f0-44f4-a273-8382516d014c,Ro 61-8048,AA-002,REC-0003930,10000,uM
AC09,6b5d8431-09a6-4464-92d7-87a0a9e90260,GNE-0877,AA-002,REC-0002071,10000,uM
AC10,0d25a287-2259-48c4-aae9-1424305c3e69,Kenpaullone,AA-002,REC-0003928,10000,uM
AC11,2ad6529d-e9b1-427c-9ed4-7288035877c2,3PO,AA-002,REC-0004135,10000,uM
AC12,e78c2e90-a1c9-4d3f-a481-8fb6c17e221f,NSC87877,FP-001,REC-0004430,10000,uM
