address,reagent_id,reagent_label,reagent_batch_name,rec_id,concentration,concentration_units
A05,10036e7c-cd18-4608-8c8b-f02534cbef28,L-Adrenaline,AQ-002,REC-0000573,10000,uM
A06,930dba53-d3db-419b-ba73-c74df0f442ed,Isoimperatorin,AA-001,REC-0063797,10000,uM
A07,94fe236b-48c2-448c-8be0-8b6737a0f7c9,Benactyzine hydrochloride,AQ-001,REC-0063682,10000,uM
A08,9d803730-b908-4248-9ac4-368acd2ef3d1,Estradiol benzoate,ZZ-001,REC-0001092,10000,uM
A09,6531d0d5-6bdb-427d-9f87-da85763b987a,Dexmedetomidine,AA-002,REC-0000483,10000,uM
A10,ac418fad-5cae-4c12-b68a-aefd74eca099,Cephalotaxine (no structure),ZZ-002,REC-0002607,10000,uM
A11,b85c5373-9bea-410a-90ac-22f1af124948,Carbasalate Calcium,HW-001,REC-0063689,10000,uM
A12,c746fefb-c439-4f5a-88ee-745e90842ce5,Sulconazole,CI-002,REC-0000892,10000,uM
A13,5e1b30a2-647e-4fe2-acf4-a9538487e528,2-Thiouracil,AA-002,REC-0000100,10000,uM
A14,fa6c4f7a-d0a9-4969-bb44-5ae5eb35feae,(-)-epigallocatechin,AA-001,REC-0063812,10000,uM
A15,d9d3a343-a22d-491c-97fc-9fa1f9b8e898,Elafibranor,AA-003,REC-0033338,10000,uM
A16,b671fee7-84aa-45eb-9a47-ce4ac8a992e6,Clorprenaline,AQ-002,REC-0000700,10000,uM
A17,636ca4c2-d44d-4cf5-b8ae-ba1caaad0d8b,Doxepin,AQ-005,REC-0002796,10000,uM
A18,5bf6a74a-ca6a-451b-a190-5764ef9de6de,Liquiritin,AA-001,REC-0063820,10000,uM
A19,495b4cb0-512a-429b-9213-ed8256c02327,Iron sucrose,FG-001,REC-0063700,10000,uM
A20,1935cf07-8eb3-4395-9410-a70c1a029019,Amfenac,FP-002,REC-0000220,10000,uM
A21,a1c2dd43-6e0c-4b3c-8587-54f60d19f66c,Methylthiouracil,AA-002,REC-0001013,10000,uM
A22,af2d58e9-4718-4cb9-a328-c4646a0de728,Cardamonin,ZZ-001,REC-0065017,10000,uM
A23,a358c4c5-f2e0-4623-b371-9763b0097b3a,Cholic acid,ZZ-002,REC-0002631,10000,uM
A24,6a9e5bd4-b585-4c17-9b5c-b445604319b1,Doxycycline hyclate,ZZ-001,REC-0002391,10000,uM
A25,4b1c2a90-caa5-4fee-9b77-678d9be205bd,Butenafine,AQ-002,REC-0000953,10000,uM
A26,55762fdc-d6c8-4dfd-b1cf-b96eba010953,Ligustrazine hydrochloride,AA-001,REC-0063718,10000,uM
A27,ba8d7c40-5344-4ea8-8bda-91c7207a8308,Betaine,AA-001,REC-0002529,10000,uM
A28,9661913c-ff8e-435e-a1f8-cb72c1556972,Cetylpyridinium,AQ-002,REC-0000378,10000,uM
A29,965b8304-1f67-4ce0-a0fe-c841d8a033a0,Anagrelide,AQ-002,REC-0000241,10000,uM
A30,331b7469-0544-49aa-b51e-6b0f4dd927aa,Protocatechuic acid,AA-001,REC-0063839,10000,uM
A31,a2391ccd-e1fe-4fe7-8b92-befeb94bae12,"10,11-Dimethoxystrychnine",AA-001,REC-0063715,10000,uM
A32,84c6e049-c1c0-4dda-b154-0f3112102eb7,Nifuroxazide,AA-002,REC-0001197,10000,uM
A33,c2a917bc-dc2c-4aee-95db-91b40e5213fd,Amitriptyline,AQ-004,REC-0000233,10000,uM
A34,d1e48854-737c-4ff2-a915-015e218ed880,(-)Carophyllene oxide,AA-002,REC-0006848,10000,uM
A35,f55fa359-f62b-4657-8c17-bd89f7c7120c,Patchouli alcohol,AA-001,REC-0063720,10000,uM
A36,e29390b6-1480-452b-88b8-31b805971bf7,Betamipron,AA-002,REC-0001176,10000,uM
A37,28ac6f4a-90b2-4e85-85fa-abccae7f3ee8,Azacyclonol,AA-002,REC-0002157,10000,uM
A38,aca7e671-d781-431e-a007-b5bce7901384,D-(+)-Trehalose dihydrate,AA-001,REC-0063847,10000,uM
A39,503b8988-4114-4baf-b605-c50eca3610a1,Tiglic acid,AA-001,REC-0063728,10000,uM
A40,4dae0a55-f3cd-4b18-a244-b5997bbb7a17,Florfenicol,AA-002,REC-0000719,10000,uM
A42,be43ebdd-d99f-43e6-9585-92108e54a4d2,Pergolide,BQ-002,REC-0001468,10000,uM
A43,be339aad-bff8-44a5-a19f-e3f1634537b2,Lycorine hydrochloride,AQ-001,REC-0063733,10000,uM
A44,b2f9a2d3-4ad4-43d0-90d9-2047158fc25e,Chlorocresol,AA-002,REC-0000598,10000,uM
AA05,a6865262-3115-40b2-9bc1-ae09c3bd3460,Asiaticoside,AA-001,REC-0063643,10000,uM
AA06,94a838c7-cd6e-4229-9836-6c158210af90,Sennoside B,AA-002,REC-0004446,10000,uM
AA07,8c45d617-0fd1-4f4a-b27f-bbea3a2ed11c,Tectoridin,AA-001,REC-0063741,10000,uM
AA08,2e99725c-606d-4a1e-8d78-da4fc57d927f,Mexiletine,AQ-004,REC-0000910,10000,uM
AA09,cd8fe9cf-8152-4bbe-a252-ad78accabe11,Tryptamine,AA-001,REC-0003436,10000,uM
AA10,5f0348b5-afc8-4d73-b64e-8435b937d077,Hydroxyzine,AQ-004,REC-0000453,10000,uM
AA11,c656fe8d-c789-4ca3-8634-5f7e9f060b7c,Royal jelly acid,AA-001,REC-0063749,10000,uM
AA12,d6b06e8b-debc-4961-8950-be0c14670102,Phenazopyridine,AQ-002,REC-0000718,10000,uM
AA13,ba17e719-8a76-42d1-a418-231120677b7e,Cefadroxil,AA-002,REC-0004211,10000,uM
AA14,e5226fb3-455d-482c-8d27-bfc11e7a927b,Norethindrone,ZZ-001,REC-0000268,10000,uM
AA15,32e2e969-2918-4dfb-87ab-ec6c8263461d,6-Gingerol,AA-001,REC-0063754,10000,uM
AA16,2a01eb28-86a1-4eaf-9c2b-bbe23b47c944,Tranylcypromine,ZZ-001,REC-0001373,10000,uM
AA17,98142830-967d-4f52-8d9b-c0c1bf632b1d,Kitasamycin,AA-001,REC-0063656,10000,uM
AA18,7ebbdb59-e84b-46f3-9bb4-4d0a8eaf0962,Carbimazole,AA-003,REC-0001684,10000,uM
AA19,77bce8be-e3d6-42d0-acf3-274f8937ba8f,Rosavin,AA-001,REC-0063759,10000,uM
AA20,23bcf49e-ff66-497a-9140-fbb9dd66ca72,Quinacrine,AQ-005,REC-0000624,10000,uM
AA21,465a24ff-3f70-4648-a5e5-44e0a8052bf9,Cefepime,AQ-002,REC-0004182,10000,uM
AA22,64518b35-8a67-42e3-8470-5a0e09e16a48,Ropivacaine,AQ-002,REC-0000974,10000,uM
AA23,2d3360c7-0812-4a17-8f32-d1a627ddcd9e,Ethyl ferulate,AA-001,REC-0063766,10000,uM
AA24,48486161-2003-40a2-aae2-df72e90bb2b4,Etofibrate,AA-003,REC-0001157,10000,uM
AA25,6d8614b7-b6a8-498c-baff-c4004725394d,Flupenthixol dihydrochloride,AQ-002,REC-0062951,10000,uM
AA26,cb2a2145-6855-4710-9338-c0bece03cb18,Tinidazole,AA-002,REC-0001688,10000,uM
AA27,9d532957-4673-4c32-aa45-b010cbcc247f,Taurochenodeoxycholic acid,AA-001,REC-0063772,10000,uM
AA28,2281fcb0-6857-4e00-b1c7-267c3af3e8a2,Bambuterol,AQ-002,REC-0000669,10000,uM
AA29,91d9a589-3b51-4a89-9b6f-7a0a4a71e702,Levamlodipine,AA-001,REC-0063665,10000,uM
AA30,a938e349-dd77-4f78-96da-f7ed2b6abd32,Mequinol,AA-002,REC-0001272,10000,uM
AA31,2d138ee7-cba3-4ff9-9a85-58837ed5fcd9,Curcumenol,AA-001,REC-0063777,10000,uM
AA32,3e1e87bc-7174-4c29-b443-5ac6dcbcee2f,Anidulafungin,AA-003,REC-0000245,10000,uM
AA33,d977c626-e972-4e03-9588-18a8d165e2ca,Methylmalonate,AA-001,REC-0063671,10000,uM
AA34,85c78202-b682-4403-800e-f2aa98e06a51,Levobetaxolol,AQ-002,REC-0000943,10000,uM
AA35,5a1cd721-ec2c-4f99-9523-433bc899f2f5,Jatrorrhizine,AA-001,REC-0063784,10000,uM
AA36,f9d41e4c-b510-4bcc-bb45-3735a4ebb5fe,Meclofenamate,AA-002,REC-0001215,10000,uM
AA37,f1e5462a-a445-4f15-837d-c4d8fdd163b8,"4-Chloro-2-hydroxybenzoic acid, 4-chloro salicylic acid",AA-001,REC-0063676,10000,uM
AA38,eecdf8ba-5ecb-4570-9162-31aa584b58e3,Droperidol,AA-003,REC-0001614,10000,uM
AA39,e1f2e419-607b-4088-bacb-d0b61af1c980,Cycloastragenol,AA-001,REC-0063791,10000,uM
AA40,f8a395eb-266e-4980-a838-910dcf65e783,Nitenpyram,ZZ-001,REC-0001866,10000,uM
AA41,7fae8c41-95f2-4870-868a-fccb8ff8c172,"2,3-Butanedione-2-monoxime",AA-001,REC-0063680,10000,uM
AA42,76a0e4ec-8eaf-41f8-8a56-41f9d15427dd,Closantel,AA-002,REC-0000921,10000,uM
AA43,8a5ed730-d12d-4ac3-9e01-fc1934fa79ed,Ursonic acid,AA-001,REC-0063796,10000,uM
AA44,6f2f4d6e-558e-4ca4-aa51-8ae1ec779584,"2,2,2-Tribromoethanol",AA-002,REC-0005317,10000,uM
AB05,19b4b3cb-e42d-4121-8baf-809791e07f6b,Prasugrel,AQ-001,REC-0000406,10000,uM
AB06,501b3ac0-6610-48c5-8862-6c14f919dcd7,Atrazine,AA-001,REC-0064036,10000,uM
AB07,8339bac2-8491-45fd-a70d-db64dc3bb7ca,Cefazedone,AA-001,REC-0063934,10000,uM
AB08,183be962-9959-44f3-9012-9d8063c8c40f,OG-L002,AA-003,REC-0001597,10000,uM
AB09,ae0f5f6d-4003-4e42-9d51-daf133930d1c,Atipamezole,AQ-003,REC-0004241,10000,uM
AB10,68cf5ebd-5085-4769-b250-d5d0c4e22ba5,Enoxacin Sesquihydrate,ZZ-001,REC-0064993,10000,uM
AB11,85c37d55-8016-4366-b4b7-660b470f5e28,trans-Zeatin,AA-002,REC-0003697,10000,uM
AB12,05006c4f-e95c-4083-b90f-6b9ce2d400df,KPT-330,AA-003,REC-0000670,10000,uM
AB14,4f2477bf-e880-4ab4-bf1a-63c5f6a5a15d,Propyphenazone (4-Isopropylantipyrine),AA-001,REC-0064045,10000,uM
