Source,Source Plate Barcode,Source Well,Destination,Destination Plate Barcode,Destination Well,Transfer Volume,Concentration,Reagent ID,Printing ID,Layer,Updated At,Printed At,REC ID
Working-CORELibrary10mM.v1.p1,r05207,K20,P-1,fake_bc,B03,2.5,10000,53335368-328d-4172-afbc-77a33b829528,None,treatment,2019-12-11 12:33:04.033542,None,REC-0001246
Working-CORELibrary10mM.v1.p1,r05207,AC12,P-1,fake_bc,B03,2.5,10000,6126483b-304a-4281-b783-4677523dcb4a,None,treatment,2019-12-11 12:33:04.034205,None,REC-0064870
Working-CORELibrary10mM.v1.p1,r05207,AC08,P-1,fake_bc,B03,2.5,10000,aed7094d-9667-4bd6-9492-b02f590f2e71,None,treatment,2019-12-11 12:33:04.034869,None,REC-0064855
Working-CORELibrary10mM.v1.p1,r05207,AA41,P-1,fake_bc,B03,2.5,10000,231b5640-9913-42e9-84b4-6941c6c99638,None,treatment,2019-12-11 12:33:04.035507,None,REC-0064541
Working-CORELibrary10mM.v1.p1,r05207,E01,P-1,fake_bc,B03,2.5,10000,cbab65a2-c118-49d9-bdaa-c2a37a4eb1be,None,treatment,2019-12-11 12:33:04.036152,None,REC-0064390
Working-CORELibrary10mM.v1.p1,r05207,Y38,P-1,fake_bc,B07,2.5,10000,c8e36d74-ac6a-4657-b560-6c1653414103,None,treatment,2019-12-11 12:33:07.028674,None,REC-0062820
Working-CORELibrary10mM.v1.p1,r05207,T26,P-1,fake_bc,B07,2.5,10000,4433d06e-e255-4ebd-9a77-e4648607d5c2,None,treatment,2019-12-11 12:33:07.029304,None,REC-0000587
Working-CORELibrary10mM.v1.p1,r05207,N43,P-1,fake_bc,B07,2.5,10000,97e711f1-eeff-4bf0-81cb-b9a2fafaf417,None,treatment,2019-12-11 12:33:07.029927,None,REC-0004279
Working-CORELibrary10mM.v1.p1,r05207,T39,P-1,fake_bc,B07,2.5,10000,a2a9ffa2-2b7a-4dbb-8e61-b19722de4f6b,None,treatment,2019-12-11 12:33:07.030546,None,REC-0062923
Working-CORELibrary10mM.v1.p1,r05207,J28,P-1,fake_bc,B07,2.5,10000,6356ca64-c281-4d2a-a57d-df2c80bd6ca1,None,treatment,2019-12-11 12:33:07.031169,None,REC-0001290
