address,reagent_id,reagent_label,reagent_batch_name,rec_id,concentration,concentration_units
A01,compound81,compound81,,REC-FAKE-000081,40,uM
A02,compound82,compound82,,REC-FAKE-000082,40,uM
A03,compound83,compound83,,REC-FAKE-000083,40,uM
A04,compound84,compound84,,REC-FAKE-000084,40,uM
A05,compound85,compound85,,REC-FAKE-000085,40,uM
A06,compound86,compound86,,REC-FAKE-000086,40,uM
A07,compound87,compound87,,REC-FAKE-000087,40,uM
A08,compound88,compound88,,REC-FAKE-000088,40,uM
A09,compound89,compound89,,REC-FAKE-000089,40,uM
A10,compound90,compound90,,REC-FAKE-000090,40,uM
A11,compound91,compound91,,REC-FAKE-000091,40,uM
A12,compound92,compound92,,REC-FAKE-000092,40,uM
A13,compound93,compound93,,REC-FAKE-000093,40,uM
A14,compound94,compound94,,REC-FAKE-000094,40,uM
A15,compound95,compound95,,REC-FAKE-000095,40,uM
A16,compound96,compound96,,REC-FAKE-000096,40,uM
A17,compound97,compound97,,REC-FAKE-000097,40,uM
A18,compound98,compound98,,REC-FAKE-000098,40,uM
A19,compound99,compound99,,REC-FAKE-000099,40,uM
A20,compound100,compound100,,REC-FAKE-000100,40,uM
A21,compound101,compound101,,REC-FAKE-000101,40,uM
A22,compound102,compound102,,REC-FAKE-000102,40,uM
A23,compound103,compound103,,REC-FAKE-000103,40,uM
A24,compound104,compound104,,REC-FAKE-000104,40,uM
B01,compound105,compound105,,REC-FAKE-000105,40,uM
B02,compound106,compound106,,REC-FAKE-000106,40,uM
B03,compound107,compound107,,REC-FAKE-000107,40,uM
B04,compound108,compound108,,REC-FAKE-000108,40,uM
B05,compound109,compound109,,REC-FAKE-000109,40,uM
B06,compound110,compound110,,REC-FAKE-000110,40,uM
B07,compound111,compound111,,REC-FAKE-000111,40,uM
B08,compound112,compound112,,REC-FAKE-000112,40,uM
B09,compound113,compound113,,REC-FAKE-000113,40,uM
B10,compound114,compound114,,REC-FAKE-000114,40,uM
B11,compound115,compound115,,REC-FAKE-000115,40,uM
B12,compound116,compound116,,REC-FAKE-000116,40,uM
B13,compound117,compound117,,REC-FAKE-000117,40,uM
B14,compound118,compound118,,REC-FAKE-000118,40,uM
B15,compound119,compound119,,REC-FAKE-000119,40,uM
B16,compound120,compound120,,REC-FAKE-000120,40,uM
